Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
1,AKAZE,BRISK,MAT_BF,SEL_KNN,111.147,1327,157,2.75916,0.775073,137,
2,AKAZE,BRISK,MAT_BF,SEL_KNN,113.042,1311,161,2.79056,0.75597,125,
3,AKAZE,BRISK,MAT_BF,SEL_KNN,113.039,1351,155,2.70757,0.774926,129,
4,AKAZE,BRISK,MAT_BF,SEL_KNN,108.524,1360,163,1.97695,0.755838,129,
5,AKAZE,BRISK,MAT_BF,SEL_KNN,110.024,1347,164,2.05523,0.779996,131,
6,AKAZE,BRISK,MAT_BF,SEL_KNN,110.581,1363,173,2.20222,0.825804,132,
7,AKAZE,BRISK,MAT_BF,SEL_KNN,114.292,1331,175,2.18029,0.903876,142,
8,AKAZE,BRISK,MAT_BF,SEL_KNN,105.301,1357,177,2.14059,0.877229,146,
9,AKAZE,BRISK,MAT_BF,SEL_KNN,107.977,1331,179,2.15345,0.908465,144,

0,AKAZE,BRIEF,MAT_BF,SEL_KNN,113.266,1351,166,0.920955,4.94066e-324,-1310888880,
1,AKAZE,BRIEF,MAT_BF,SEL_KNN,112.909,1327,157,0.845269,0.720407,141,
2,AKAZE,BRIEF,MAT_BF,SEL_KNN,109.552,1311,161,0.856808,0.689704,134,
3,AKAZE,BRIEF,MAT_BF,SEL_KNN,111.246,1351,155,0.835837,0.728993,131,
4,AKAZE,BRIEF,MAT_BF,SEL_KNN,116.746,1360,163,0.873477,0.693666,130,
